,mouse,area,session,win,Hit,FA,DP
216,VE078,wM1,2,Post,0.6428571428571429,0.13333333333333333,1.4768779734373554
217,VE078,wM1,2,Control,0.6323529411764706,0.13829787234042554,1.4260902135399625
218,VE078,wM1,2,Stim,0.6363636363636364,0.125,1.499105075893053
219,VE078,wM1,2,Pre,0.6363636363636364,0.06666666666666667,1.8498416415610697
220,VE078,wM1,3,Response,0.5714285714285714,0.0,inf
221,VE078,wM1,3,Post,0.5,0.2222222222222222,0.7647096737863872
222,VE078,wM1,3,Control,0.6212121212121212,0.06060606060606061,1.8583717064315233
223,VE078,wM1,3,Stim,0.7777777777777778,0.25,1.439199423982469
224,VE078,wM1,3,Pre,0.875,0.125,2.3006987607520166
225,VE078,Aud,1,Response,0.6,0.0,inf
226,VE078,Aud,1,Post,0.5714285714285714,0.09090909090909091,1.5151901059116417
227,VE078,Aud,1,Control,0.6133333333333333,0.0547945205479452,1.8880605280693992
228,VE078,Aud,1,Stim,0.6,0.1,1.5348986686804005
229,VE078,Aud,1,Pre,0.5555555555555556,0.08333333333333333,1.5227044259825007
230,VE078,Aud,2,Response,0.625,0.3333333333333333,0.7493666632598328
231,VE078,Aud,2,Post,0.42857142857142855,0.2857142857142857,0.38593645214015804
232,VE078,Aud,2,Control,0.6458333333333334,0.12727272727272726,1.5134735861337147
233,VE078,Aud,2,Stim,0.3333333333333333,0.0,inf
234,VE078,Aud,2,Pre,0.5,0.5,0.0
235,VE078,Aud,3,Response,0.75,0.125,1.8248391305720901
236,VE078,Aud,3,Post,0.8,0.14285714285714285,1.9091917574510564
237,VE078,Aud,3,Control,0.696969696969697,0.125,1.6660541740690469
238,VE078,Aud,3,Stim,0.375,0.25,0.3558503862317066
239,VE078,Aud,3,Pre,0.8571428571428571,0.1111111111111111,2.2882108727254913
240,VE078,Vis,1,Response,0.7272727272727273,0.0,inf
241,VE078,Vis,1,Post,0.6,0.08333333333333333,1.6363412302364382
242,VE078,Vis,1,Control,0.5647058823529412,0.1,1.4444629141675187
243,VE078,Vis,1,Stim,0.36363636363636365,0.25,0.3257340546790371
244,VE078,Vis,1,Pre,0.8181818181818182,0.08333333333333333,2.291451995638024
245,VE078,Vis,2,Response,0.2727272727272727,0.25,0.06990440361284467
246,VE078,Vis,2,Post,0.5454545454545454,0.08333333333333333,1.4971794214220668
247,VE078,Vis,2,Control,0.6593406593406593,0.030927835051546393,2.2779932495761948
248,VE078,Vis,2,Stim,0.6,0.0,inf
249,VE078,Vis,2,Pre,0.4444444444444444,0.0,inf
250,VE078,Vis,3,Response,0.4,0.0,inf
251,VE078,Vis,3,Post,0.3333333333333333,0.25,0.2437624509006242
252,VE078,Vis,3,Control,0.5897435897435898,0.0641025641025641,1.7481034909618132
253,VE078,Vis,3,Stim,0.5555555555555556,0.1111111111111111,1.360350647729212
254,VE078,Vis,3,Pre,0.5555555555555556,0.0,inf
255,VE078,PPC,1,Response,0.5,0.125,1.1503493803760083
256,VE078,PPC,1,Post,0.625,0.0,inf
257,VE078,PPC,1,Control,0.7555555555555555,0.0625,2.2261976809665596
258,VE078,PPC,1,Stim,0.5,0.375,0.3186393639643752
259,VE078,PPC,1,Pre,0.625,0.125,1.4689887443403835
260,VE078,PPC,2,Response,0.8571428571428571,0.07692307692307693,2.4936473961509886
