,period,area,miss_diff,propabilities,session
108,off,wM2,0,"[0.19999998807907104, 0.2849999964237213, 0.42499998211860657, 0.08999999612569809]",4
109,whisker,wM2,tensor(0.0515),"[0.22499999403953552, 0.25999999046325684, 0.429999977350235, 0.08500000089406967]",4
110,delay,wM2,tensor(0.3402),"[0.3649999797344208, 0.11999999731779099, 0.44999998807907104, 0.06499999761581421]",4
111,response,wM2,tensor(-0.0412),"[0.17999999225139618, 0.3050000071525574, 0.4650000035762787, 0.04999999701976776]",4
112,off,ALM,0,"[0.19999998807907104, 0.2849999964237213, 0.42499998211860657, 0.08999999612569809]",4
113,whisker,ALM,tensor(-0.0309),"[0.1850000023841858, 0.29999998211860657, 0.4399999976158142, 0.07499999552965164]",4
114,delay,ALM,tensor(0.1856),"[0.28999999165534973, 0.19499999284744263, 0.41999998688697815, 0.0949999988079071]",4
115,response,ALM,tensor(-0.1134),"[0.14499999582767487, 0.3400000035762787, 0.3700000047683716, 0.14499999582767487]",4
116,off,tjM1,0,"[0.19999998807907104, 0.2849999964237213, 0.42499998211860657, 0.08999999612569809]",4
117,whisker,tjM1,tensor(-0.0412),"[0.17999999225139618, 0.3050000071525574, 0.44999998807907104, 0.06499999761581421]",4
118,delay,tjM1,tensor(0.5670),"[0.4749999940395355, 0.009999999776482582, 0.38499999046325684, 0.12999999523162842]",4
119,response,tjM1,tensor(-0.0619),"[0.17000000178813934, 0.3149999976158142, 0.4050000011920929, 0.10999999940395355]",4
